Location,Time,Race,Two or More Races,Family Income - Rate (Dollars per Capita),Family Income - Rate (Dollars per Capita) - Error,Family Income - Median (Dollars),Family Income - Median (Dollars) - Error,Total Population: by Race - Number (People),Total Population: by Race - Number (People) - Error
California,2012,White,All,,,,,23628545,35260.50215818591
California,2012-2016,All,All,31458,60.18602954586905,72952,172.04693294425192,38654206,
California,2012-2016,American Indian and Alaskan Native,All,,,,,285512,3571.0377530548967
California,2012-2016,Asian,All,,,,,5354608,5086.023466472126
California,2012-2016,Black or African-American,All,,,,,2261835,3455.529211502219
California,2012-2016,Native Hawaiian and other Pacific Islander,All,,,,,150908,1347.1943583196546
California,2012-2016,Other Race,All,,,,,5133600,20418.87044805155
California,2012-2016,Two or more races,All,,,,,1787159,13060.976351145966
California,2012-2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,1387251,9189.616390054107
California,2012-2016,Two or more races,Two races including Some other race,,,,,399908,5394.856830202444
California,2012-2016,White,All,,,,,23680584,15669.037631466957
California,2013,All,All,,,,,38332521,
California,2013,American Indian and Alaskan Native,All,,,,,278377,7463.675603380145
California,2013,Asian,All,,,,,5210236,10819.502705331632
California,2013,Black or African-American,All,,,,,2269021,7607.149370782418
California,2013,Native Hawaiian and other Pacific Islander,All,,,,,142782,3042.1302206821083
California,2013,Other Race,All,,,,,4961376,36445.37661863943
California,2013,Two or more races,All,,,,,1729710,17248.464952276732
California,2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,1325879,15360.812207429022
California,2013,Two or more races,Two races including Some other race,,,,,403831,10364.76381542951
California,2013,White,All,,,,,23741019,37003.46525624658
California,2013-2017,All,All,33128,58.3622104687215,76975,177.51839017569458,38982847,
California,2013-2017,American Indian and Alaskan Native,All,,,,,292018,3835.4915192412914
California,2013-2017,Asian,All,,,,,5503672,5394.248890510062
California,2013-2017,Black or African-American,All,,,,,2263222,3733.965590613411
California,2013-2017,Native Hawaiian and other Pacific Islander,All,,,,,152027,1130.767827831479
California,2013-2017,Other Race,All,,,,,5329952,22986.8077086753
California,2013-2017,Two or more races,All,,,,,1834714,13468.903884734635
California,2013-2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,1434901,10130.707033862242
California,2013-2017,Two or more races,Two races including Some other race,,,,,399813,5397.896528664356
California,2013-2017,White,All,,,,,23607242,19623.68533041522
California,2014,All,All,,,,,38802500,
California,2014,American Indian and Alaskan Native,All,,,,,286631,8003.526050215818
California,2014,Asian,All,,,,,5398090,11117.393154599064
California,2014,Black or African-American,All,,,,,2259681,9285.06292175816
California,2014,Native Hawaiian and other Pacific Islander,All,,,,,150072,3141.2243905404584
California,2014,Other Race,All,,,,,5114193,33180.13253085294
California,2014,Two or more races,All,,,,,1779789,16854.520031612865
California,2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,1398554,15697.002857316555
California,2014,Two or more races,Two races including Some other race,,,,,381235,9542.221411635966
California,2014,White,All,,,,,23814044,33467.68800534987
California,2014-2018,All,All,35021,66.2654264696942,81416,190.2851237157274,,
California,2015,All,All,,,,,39144818,
California,2015,American Indian and Alaskan Native,All,,,,,282777,8040.0024317587695
California,2015,Asian,All,,,,,5548936,12384.339473524225
California,2015,Black or African-American,All,,,,,2277229,8978.661316797374
California,2015,Native Hawaiian and other Pacific Islander,All,,,,,157554,3956.471518025412
California,2015,Other Race,All,,,,,5300297,38881.39096601617
California,2015,Two or more races,All,,,,,1753771,18520.88272843334
California,2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,1378089,16298.863152775244
California,2015,Two or more races,Two races including Some other race,,,,,375682,8692.929661377591
California,2015,White,All,,,,,23824254,39469.26864855006
California,2016,All,All,,,,,39250017,
California,2016,American Indian and Alaskan Native,All,,,,,290133,9429.7525685452
California,2016,Asian,All,,,,,5602074,11252.355766307983
California,2016,Black or African-American,All,,,,,2265280,9064.988753115691
California,2016,Native Hawaiian and other Pacific Islander,All,,,,,150521,3669.5239832208645
California,2016,Other Race,All,,,,,5642125,39868.07708675299
California,2016,Two or more races,All,,,,,1879650,18515.411271201898
California,2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,1491892,16152.349686911059
California,2016,Two or more races,Two races including Some other race,,,,,387758,8827.284333394127
California,2016,White,All,,,,,23420234,37948.20353820901
California,2017,All,All,,,,,39536653,
California,2017,American Indian and Alaskan Native,All,,,,,313859,7563.98565262326
California,2017,Asian,All,,,,,5765305,12505.319472308347
California,2017,Black or African-American,All,,,,,2271917,12003.76922609277
California,2017,Native Hawaiian and other Pacific Islander,All,,,,,153923,3457.960970271749
California,2017,Other Race,All,,,,,5911803,39436.43990516141
California,2017,Two or more races,All,,,,,1938077,23455.52921150222
California,2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,1530373,19158.003526050215
California,2017,Two or more races,Two races including Some other race,,,,,407704,10435.892759438264
California,2017,White,All,,,,,23181769,41549.63827588303
California,2018,All,All,,,,,39557045,
California,2018,American Indian and Alaskan Native,All,,,,,302792,7131.740531339291
California,2018,Asian,All,,,,,5821585,13332.117453948567
California,2018,Black or African-American,All,,,,,2283850,8930.634081099155
California,2018,Native Hawaiian and other Pacific Islander,All,,,,,155739,3494.4373518147
California,2018,Other Race,All,,,,,5453229,43149.73554623382
California,2018,Two or more races,All,,,,,2004462,20299.714268344578
California,2018,Two or more races,Two races excluding Some other race, and three or more races,,,,,1563757,16694.631892516263
California,2018,Two or more races,Two races including Some other race,,,,,440705,9958.660100917989
California,2018,White,All,,,,,23535388,40548.361602529025
New York,2006-2010,All,All,30948,66.2654264696942,67405,183.59778709951973,19229752,
New York,2006-2010,American Indian and Alaskan Native,All,,,,,66876,1383.062800170223
New York,2006-2010,Asian,All,,,,,1392380,2002.5533467080065
New York,2006-2010,Black or African-American,All,,,,,2990591,4678.095932883458
New York,2006-2010,Native Hawaiian and other Pacific Islander,All,,,,,5334,462.0341662107119
New York,2006-2010,Other Race,All,,,,,1607796,9240.075384521855
New York,2006-2010,Two or more races,All,,,,,402373,4440.391513161894
New York,2006-2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,286461,3365.5541370296064
New York,2006-2010,Two or more races,Two races including Some other race,,,,,115912,2537.5402760046204
New York,2006-2010,White,All,,,,,12764402,7729.345248951304
New York,2007-2011,All,All,31796,71.73688370113685,69202,214.60271141102803,19302448,
New York,2007-2011,American Indian and Alaskan Native,All,,,,,67766,1485.1966684904858
New York,2007-2011,Asian,All,,,,,1415147,2230.53073135145
New York,2007-2011,Black or African-American,All,,,,,3013740,4406.954830080856
New York,2007-2011,Native Hawaiian and other Pacific Islander,All,,,,,6706,489.39145236792507
New York,2007-2011,Other Race,All,,,,,1588617,10583.014164994833
New York,2007-2011,Two or more races,All,,,,,441667,4658.0339230348345
New York,2007-2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,312485,3599.6109185968753
New York,2007-2011,Two or more races,Two races including Some other race,,,,,129182,2320.505805824062
New York,2007-2011,White,All,,,,,12768805,8810.8699616998
New York,2008-2012,All,All,32104,75.99246154781446,69968,213.386832026263,19398125,
New York,2008-2012,American Indian and Alaskan Native,All,,,,,69500,1364.8246093987477
New York,2008-2012,Asian,All,,,,,1445539,2440.8778649158003
New York,2008-2012,Black or African-American,All,,,,,3037255,4969.906985227065
New York,2008-2012,Native Hawaiian and other Pacific Islander,All,,,,,6477,435.2848197458812
New York,2008-2012,Other Race,All,,,,,1557020,10738.646726244757
New York,2008-2012,Two or more races,All,,,,,474066,5307.313514499361
New York,2008-2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,335698,3653.717551218919
New York,2008-2012,Two or more races,Two races including Some other race,,,,,138368,3091.9812754574746
New York,2008-2012,White,All,,,,,12808268,8650.373882910815
New York,2009-2013,All,All,32382,83.28773785640465,70670,190.2851237157274,19487053,
New York,2009-2013,American Indian and Alaskan Native,All,,,,,72740,1391.5739558635782
New York,2009-2013,Asian,All,,,,,1479326,2175.208219344641
New York,2009-2013,Black or African-American,All,,,,,3042152,4369.870508845523
New York,2009-2013,Native Hawaiian and other Pacific Islander,All,,,,,7365,556.8727582223843
New York,2009-2013,Other Race,All,,,,,1595715,11238.981093075567
New York,2009-2013,Two or more races,All,,,,,510429,4803.9394492066385
New York,2009-2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,363599,3701.744786917138
New York,2009-2013,Two or more races,Two races including Some other race,,,,,146830,2651.2249984801506
New York,2009-2013,White,All,,,,,12779326,9492.3703568606
New York,2010,All,All,,,,,19392283,
New York,2010,American Indian and Alaskan Native,All,,,,,71792,3338.1968508723935
New York,2010,Asian,All,,,,,1433875,5948.689889962916
New York,2010,Black or African-American,All,,,,,3015272,10518.572557602285
New York,2010,Native Hawaiian and other Pacific Islander,All,,,,,6597,1039.5768739741018
New York,2010,Other Race,All,,,,,1575686,16756.033801446894
