Location,Time,Race,Two or More Races,Family Income - Rate (Dollars per Capita),Family Income - Rate (Dollars per Capita) - Error,Family Income - Median (Dollars),Family Income - Median (Dollars) - Error,Total Population: by Race - Number (People),Total Population: by Race - Number (People) - Error
Texas,2010-2014,American Indian and Alaskan Native,All,,,,,127236,2240.25776642957
Texas,2010-2014,Asian,All,,,,,1067008,2568.5452003161286
Texas,2010-2014,Black or African-American,All,,,,,3094227,3297.464891482765
Texas,2010-2014,Native Hawaiian and other Pacific Islander,All,,,,,21867,669.9495410055322
Texas,2010-2014,Other Race,All,,,,,1662288,10804.304213022067
Texas,2010-2014,Two or more races,All,,,,,620302,5988.205969967779
Texas,2010-2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,469494,4398.4436743875
Texas,2010-2014,Two or more races,Two races including Some other race,,,,,150808,3529.0899142805033
Texas,2010-2014,White,All,,,,,19499105,11859.687518998115
Texas,2011,All,All,,,,,25674681,
Texas,2011,American Indian and Alaskan Native,All,,,,,128773,6768.192595294547
Texas,2011,Asian,All,,,,,999118,6197.337224147364
Texas,2011,Black or African-American,All,,,,,3011795,8447.322025655056
Texas,2011,Native Hawaiian and other Pacific Islander,All,,,,,18726,2536.324396619855
Texas,2011,Other Race,All,,,,,1770210,26224.694510304576
Texas,2011,Two or more races,All,,,,,596902,11485.196668490486
Texas,2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,441029,10301.538087421728
Texas,2011,Two or more races,Two races including Some other race,,,,,155873,7505.015502462155
Texas,2011,White,All,,,,,19149157,27732.9928871056
Texas,2011-2015,All,All,26999,51.67487385251383,62717,167.1834154051918,26538614,
Texas,2011-2015,American Indian and Alaskan Native,All,,,,,126493,2479.178065535899
Texas,2011-2015,Asian,All,,,,,1124011,2424.463493221472
Texas,2011-2015,Black or African-American,All,,,,,3152917,3532.1296127424157
Texas,2011-2015,Native Hawaiian and other Pacific Islander,All,,,,,21655,728.3117514742537
Texas,2011-2015,Other Race,All,,,,,1585866,10023.709648002918
Texas,2011-2015,Two or more races,All,,,,,653062,6262.994710924676
Texas,2011-2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,503465,4571.706486716517
Texas,2011-2015,Two or more races,Two races including Some other race,,,,,149597,3582.588607210165
Texas,2011-2015,White,All,,,,,19874610,11630.494254969906
Texas,2012,All,All,,,,,26059203,
Texas,2012,American Indian and Alaskan Native,All,,,,,126041,5144.99361663323
Texas,2012,Asian,All,,,,,1052002,5264.757736032586
Texas,2012,Black or African-American,All,,,,,3099425,9447.990759316675
Texas,2012,Native Hawaiian and other Pacific Islander,All,,,,,21938,1682.1691288224208
Texas,2012,Other Race,All,,,,,1599204,29711.228646118303
Texas,2012,Two or more races,All,,,,,614423,11474.2537540276
Texas,2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,469538,8976.837497720226
Texas,2012,Two or more races,Two races including Some other race,,,,,144885,6067.238129977506
Texas,2012,White,All,,,,,19546170,29729.46683688978
Texas,2012-2016,All,All,27828,56.53839139157395,64585,144.0817070946562,26956435,
Texas,2012-2016,American Indian and Alaskan Native,All,,,,,128145,2481.609824305429
Texas,2012-2016,Asian,All,,,,,1175423,2270.0468113563134
Texas,2012-2016,Black or African-American,All,,,,,3221133,3358.2588607210164
Texas,2012-2016,Native Hawaiian and other Pacific Islander,All,,,,,22248,696.0909477779804
Texas,2012-2016,Other Race,All,,,,,1561683,8658.88503860417
Texas,2012-2016,Two or more races,All,,,,,673400,6213.7515958416925
Texas,2012-2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,525872,4099.337345735303
Texas,2012-2016,Two or more races,Two races including Some other race,,,,,147528,3306.5839868685025
Texas,2012-2016,White,All,,,,,20174403,10677.244817314122
Texas,2013,All,All,,,,,26448193,
Texas,2013,American Indian and Alaskan Native,All,,,,,118862,6091.555717672807
Texas,2013,Asian,All,,,,,1089907,6266.034409386589
Texas,2013,Black or African-American,All,,,,,3142866,8160.98243054289
Texas,2013,Native Hawaiian and other Pacific Islander,All,,,,,19892,1649.340385433765
Texas,2013,Other Race,All,,,,,1589415,24618.51784302997
Texas,2013,Two or more races,All,,,,,646884,11367.86430786066
Texas,2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,506435,11210.407927533588
Texas,2013,Two or more races,Two races including Some other race,,,,,140449,5349.869292966137
Texas,2013,White,All,,,,,19840367,26175.451395221593
Texas,2013-2017,All,All,28985,57.754270776338984,67344,170.2231138671044,27419612,
Texas,2013-2017,American Indian and Alaskan Native,All,,,,,130360,2468.843090765396
Texas,2013-2017,Asian,All,,,,,1236852,2412.9126390662045
Texas,2013-2017,Black or African-American,All,,,,,3286950,4304.213022068211
Texas,2013-2017,Native Hawaiian and other Pacific Islander,All,,,,,23531,719.1926560885161
Texas,2013-2017,Other Race,All,,,,,1580393,11054.775366283664
Texas,2013-2017,Two or more races,All,,,,,702001,7430.846859991489
Texas,2013-2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,552610,5270.837132956411
Texas,2013-2017,Two or more races,Two races including Some other race,,,,,149391,3758.891118001094
Texas,2013-2017,White,All,,,,,20459525,13054.89695422214
Texas,2014,All,All,,,,,26956958,
Texas,2014,American Indian and Alaskan Native,All,,,,,121708,5512.18919083227
Texas,2014,Asian,All,,,,,1161951,5590.613411149614
Texas,2014,Black or African-American,All,,,,,3234898,9904.553468295944
Texas,2014,Native Hawaiian and other Pacific Islander,All,,,,,20055,1412.2439054045838
Texas,2014,Other Race,All,,,,,1488773,22029.91063286522
Texas,2014,Two or more races,All,,,,,663713,11690.072344823393
Texas,2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,527932,10228.585324335825
Texas,2014,Two or more races,Two races including Some other race,,,,,135781,5606.41984315156
Texas,2014,White,All,,,,,20265860,24064.076843577117
Texas,2014-2018,All,All,30143,62.009848623016595,70423,175.69457109854702,,
Texas,2015,All,All,,,,,27469114,
Texas,2015,American Indian and Alaskan Native,All,,,,,132948,5749.893610553833
Texas,2015,Asian,All,,,,,1248823,5824.670192716882
Texas,2015,Black or African-American,All,,,,,3298173,10784.242203173446
Texas,2015,Native Hawaiian and other Pacific Islander,All,,,,,20071,1633.5339534318196
Texas,2015,Other Race,All,,,,,1489855,21452.36792510183
Texas,2015,Two or more races,All,,,,,691327,13006.869718523922
Texas,2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,540130,11066.934160131315
Texas,2015,Two or more races,Two races including Some other race,,,,,151197,6724.420937443006
Texas,2015,White,All,,,,,20587917,24148.580460818288
Texas,2016,All,All,,,,,27862596,
Texas,2016,American Indian and Alaskan Native,All,,,,,135275,5788.801750866314
Texas,2016,Asian,All,,,,,1300300,6662.411088819989
Texas,2016,Black or African-American,All,,,,,3362283,10293.634871420754
Texas,2016,Native Hawaiian and other Pacific Islander,All,,,,,25228,2033.558271019515
Texas,2016,Other Race,All,,,,,1622087,24966.25934707277
Texas,2016,Two or more races,All,,,,,714714,13241.534439783572
Texas,2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,570125,10524.65195452611
Texas,2016,Two or more races,Two races including Some other race,,,,,144589,6694.02395282388
Texas,2016,White,All,,,,,20702709,25382.09009666241
Texas,2017,All,All,,,,,28304596,
Texas,2017,American Indian and Alaskan Native,All,,,,,135098,5523.132105295154
Texas,2017,Asian,All,,,,,1360248,7329.928871055991
Texas,2017,Black or African-American,All,,,,,3423231,10257.158489877804
Texas,2017,Native Hawaiian and other Pacific Islander,All,,,,,23905,1582.4670192716883
Texas,2017,Other Race,All,,,,,1683894,28730.62192230531
Texas,2017,Two or more races,All,,,,,749080,14952.884673840355
Texas,2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,586783,13870.752021399478
Texas,2017,Two or more races,Two races including Some other race,,,,,162297,8033.923034834944
Texas,2017,White,All,,,,,20929140,29939.81397045413
Texas,2018,All,All,,,,,28701845,
Texas,2018,American Indian and Alaskan Native,All,,,,,149997,7724.481731412244
Texas,2018,Asian,All,,,,,1430857,5869.657729953188
Texas,2018,Black or African-American,All,,,,,3527027,12992.887105599124
Texas,2018,Native Hawaiian and other Pacific Islander,All,,,,,21463,1886.4368654629461
Texas,2018,Other Race,All,,,,,1709445,22555.170527083712
Texas,2018,Two or more races,All,,,,,763990,13769.226092771596
Texas,2018,Two or more races,Two races excluding Some other race, and three or more races,,,,,610300,11269.986017387075
Texas,2018,Two or more races,Two races including Some other race,,,,,153690,5588.1816523800835
Texas,2018,White,All,,,,,21099066,24695.11824427017
United States,2006-2010,All,All,27334,47.41929600583622,62982,120.97999878412061,303965272,
United States,2006-2010,American Indian and Alaskan Native,All,,,,,2480465,8669.220013374674
United States,2006-2010,Asian,All,,,,,14185493,11235.941394613654
United States,2006-2010,Black or African-American,All,,,,,37978752,12372.78861936896
United States,2006-2010,Native Hawaiian and other Pacific Islander,All,,,,,491673,2846.981579427321
United States,2006-2010,Other Race,All,,,,,16603808,38789.59207246641
United States,2006-2010,Two or more races,All,,,,,7329381,41989.78661316798
United States,2006-2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,5911649,26962.73329685695
United States,2006-2010,Two or more races,Two races including Some other race,,,,,1417732,17412.00072952763
United States,2006-2010,White,All,,,,,224895700,27229.010882120492
United States,2007-2011,All,All,27915,48.635175390601255,64293,116.11648124506048,306603772,
United States,2007-2011,American Indian and Alaskan Native,All,,,,,2502653,8285.002127788923
United States,2007-2011,Asian,All,,,,,14497185,12013.496261170892
United States,2007-2011,Black or African-American,All,,,,,38395857,13729.102073074351
United States,2007-2011,Native Hawaiian and other Pacific Islander,All,,,,,500592,2876.1626846616814
United States,2007-2011,Other Race,All,,,,,15723818,50373.88291081525
United States,2007-2011,Two or more races,All,,,,,7816654,46546.90254726731
United States,2007-2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,6379811,31557.541491884003
United States,2007-2011,Two or more races,Two races including Some other race,,,,,1436843,17980.424341905284
United States,2007-2011,White,All,,,,,227167013,32485.865402152107
United States,2008-2012,All,All,28051,47.41929600583622,64585,115.50854155267797,309138711,
United States,2008-2012,American Indian and Alaskan Native,All,,,,,2529100,8513.58745212475
United States,2008-2012,Asian,All,,,,,14859795,11578.819381117393
United States,2008-2012,Black or African-American,All,,,,,38825848,13842.78679554988
United States,2008-2012,Native Hawaiian and other Pacific Islander,All,,,,,514402,2989.847407137212
United States,2008-2012,Other Race,All,,,,,14814369,55394.24889051006
United States,2008-2012,Two or more races,All,,,,,8296291,47704.41972156362
United States,2008-2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,6829625,32184.327314730377
United States,2008-2012,Two or more races,Two races including Some other race,,,,,1466666,17850.325247735425
United States,2008-2012,White,All,,,,,229298906,30724.66411331996
United States,2009-2013,All,All,28155,46.20341662107119,64719,110.64502401361784,311536594,
United States,2009-2013,American Indian and Alaskan Native,All,,,,,2540309,7798.650373882911
United States,2009-2013,Asian,All,,,,,15231962,10674.20511885221
United States,2009-2013,Black or African-American,All,,,,,39167010,13730.317952459116
United States,2009-2013,Native Hawaiian and other Pacific Islander,All,,,,,526347,3160.070521004316
United States,2009-2013,Other Race,All,,,,,14746054,51085.78029059517
United States,2009-2013,Two or more races,All,,,,,8732333,45954.16134719436
United States,2009-2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,7230560,30572.679190224328
United States,2009-2013,Two or more races,Two races including Some other race,,,,,1501773,17684.357711714998
United States,2009-2013,White,All,,,,,230592579,30324.03185603988
United States,2010,All,All,,,,,309349689,
United States,2010,American Indian and Alaskan Native,All,,,,,2553566,17407.13721198857
United States,2010,Asian,All,,,,,14728302,18359.17077025959
United States,2010,Black or African-American,All,,,,,38874625,31339.899082011063
United States,2010,Native Hawaiian and other Pacific Islander,All,,,,,507916,5784.546173019637
United States,2010,Other Race,All,,,,,14889440,72181.28761626847
United States,2010,Two or more races,All,,,,,8398368,47697.73238494741
United States,2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,6898943,39006.62654264697
United States,2010,Two or more races,Two races including Some other race,,,,,1499425,22402.577664295703
United States,2010,White,All,,,,,229397472,81064.50240136178
United States,2010-2014,All,All,28555,46.81135631345371,65443,114.29266216791294,314107084,
United States,2010-2014,American Indian and Alaskan Native,All,,,,,2565520,8384.704237339656
United States,2010-2014,Asian,All,,,,,15710659,12178.247917806553
United States,2010-2014,Black or African-American,All,,,,,39564785,14016.65754757128
United States,2010-2014,Native Hawaiian and other Pacific Islander,All,,,,,535761,3175.269013313879
United States,2010-2014,Other Race,All,,,,,14754895,54367.43875007599
United States,2010-2014,Two or more races,All,,,,,9125751,46911.05842300444
United States,2010-2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,7596849,32651.22499848015
United States,2010-2014,Two or more races,Two races including Some other race,,,,,1528902,17342.695604596025
United States,2010-2014,White,All,,,,,231849713,31172.10772691349
United States,2011,All,All,,,,,311591919,
United States,2011,American Indian and Alaskan Native,All,,,,,2547006,20672.38129977506
United States,2011,Asian,All,,,,,15020419,21024.986321356922
United States,2011,Black or African-American,All,,,,,39189528,33092.589215149856
United States,2011,Native Hawaiian and other Pacific Islander,All,,,,,506017,8294.729162867043
United States,2011,Other Race,All,,,,,14768156,66385.19058909356
United States,2011,Two or more races,All,,,,,8721818,56887.34877500152
United States,2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,7238768,45118.85220986078
United States,2011,Two or more races,Two races including Some other race,,,,,1483050,26125.600340446228
United States,2011,White,All,,,,,230838975,67746.9755000304
United States,2011-2015,All,All,28930,46.81135631345371,66011,116.11648124506048,316515021,
United States,2011-2015,American Indian and Alaskan Native,All,,,,,2569170,9066.812572192839
United States,2011-2015,Asian,All,,,,,16235305,12599.550124627636
United States,2011-2015,Black or African-American,All,,,,,39908095,16233.205665997933
United States,2011-2015,Native Hawaiian and other Pacific Islander,All,,,,,546255,2767.3414797252112
United States,2011-2015,Other Race,All,,,,,14865258,51062.678582284636
United States,2011-2015,Two or more races,All,,,,,9447883,47963.40203051857
United States,2011-2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,7917118,33879.263177092835
United States,2011-2015,Two or more races,Two races including Some other race,,,,,1530765,17035.686059942855
United States,2011-2015,White,All,,,,,232943055,29381.72533284698
United States,2012,All,All,,,,,313914040,
United States,2012,American Indian and Alaskan Native,All,,,,,2563505,15903.70235272661
United States,2012,Asian,All,,,,,15555530,19785.39728858897
United States,2012,Black or African-American,All,,,,,39623138,35217.946379719135
United States,2012,Native Hawaiian and other Pacific Islander,All,,,,,543198,8638.823028755547
United States,2012,Other Race,All,,,,,14562678,73445.19423673171
United States,2012,Two or more races,All,,,,,9073614,48633.3515715241
United States,2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,7552326,39896.650252294974
United States,2012,Two or more races,Two races including Some other race,,,,,1521288,21110.097878290475
United States,2012,White,All,,,,,231992377,68837.01136847225
United States,2012-2016,All,All,29829,49.851054775366286,67871,128.88321478509332,318558162,
United States,2012-2016,American Indian and Alaskan Native,All,,,,,2597817,9314.851966684904
United States,2012-2016,Asian,All,,,,,16614625,11504.042798954344
United States,2012-2016,Black or African-American,All,,,,,40241818,16544.47078849778
United States,2012-2016,Native Hawaiian and other Pacific Islander,All,,,,,560021,2902.9120311265124
United States,2012-2016,Other Race,All,,,,,15133856,51980.66751778223
United States,2012-2016,Two or more races,All,,,,,9752947,49727.64301781263
United States,2012-2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,8214719,35808.255821022554
United States,2012-2016,Two or more races,Two races including Some other race,,,,,1538228,16207.672198917868
United States,2012-2016,White,All,,,,,233657078,31702.839078363424
United States,2013,All,All,,,,,316128839,
United States,2013,American Indian and Alaskan Native,All,,,,,2521131,17132.956410724055
United States,2013,Asian,All,,,,,16012120,21514.985713417227
United States,2013,Black or African-American,All,,,,,39919371,33676.81925952945
United States,2013,Native Hawaiian and other Pacific Islander,All,,,,,525750,7128.092893184996
United States,2013,Other Race,All,,,,,14811025,78529.3938841267
United States,2013,Two or more races,All,,,,,9369541,46410.724056173625
United States,2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,7885505,38035.74685391209
United States,2013,Two or more races,Two races including Some other race,,,,,1484036,18227.855796704967
United States,2013,White,All,,,,,232969901,76504.95470849292
United States,2013-2017,All,All,31177,52.89075323727886,70850,130.70703386224088,321004407,
United States,2013-2017,American Indian and Alaskan Native,All,,,,,2632102,8689.282023223295
United States,2013-2017,Asian,All,,,,,17186320,12262.751535047722
United States,2013-2017,Black or African-American,All,,,,,40610815,17659.432184327314
United States,2013-2017,Native Hawaiian and other Pacific Islander,All,,,,,570116,3002.614140677245
United States,2013-2017,Other Race,All,,,,,15553808,54663.50538026627
United States,2013-2017,Two or more races,All,,,,,10081044,54205.72679190224
United States,2013-2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,8529902,40767.82783147912
United States,2013-2017,Two or more races,Two races including Some other race,,,,,1551142,15770.563560094839
United States,2013-2017,White,All,,,,,234370202,35183.293817253325
United States,2014,All,All,,,,,318857056,
United States,2014,American Indian and Alaskan Native,All,,,,,2601714,16917.137819928263
United States,2014,Asian,All,,,,,16686960,20558.08863760715
United States,2014,Black or African-American,All,,,,,40379066,35107.9092953979
United States,2014,Native Hawaiian and other Pacific Islander,All,,,,,557154,7550.003039698462
United States,2014,Other Race,All,,,,,15063263,66754.20998236975
United States,2014,Two or more races,All,,,,,9605771,50885.16019210894
United States,2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,8127045,42191.62259103897
United States,2014,Two or more races,Two races including Some other race,,,,,1478726,19007.23448233935
United States,2014,White,All,,,,,233963128,60694.875068393216
United States,2014-2018,All,All,32621,56.53839139157395,73965,130.70703386224088,,
United States,2015,All,All,,,,,321418821,
United States,2015,American Indian and Alaskan Native,All,,,,,2597249,17134.17229010882
United States,2015,Asian,All,,,,,17273777,22755.18268587756
United States,2015,Black or African-American,All,,,,,40695277,37998.66253267676
United States,2015,Native Hawaiian and other Pacific Islander,All,,,,,554946,8008.997507447261
United States,2015,Other Race,All,,,,,15375942,72959.45042251809
United States,2015,Two or more races,All,,,,,9981530,51766.06480637121
United States,2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,8472309,46087.300139826126
United States,2015,Two or more races,Two races including Some other race,,,,,1509221,20854.763207489817
United States,2015,White,All,,,,,234940100,70541.06632622043
United States,2016,All,All,,,,,323127515,
United States,2016,American Indian and Alaskan Native,All,,,,,2676399,20102.741808012644
United States,2016,Asian,All,,,,,17556935,26400.997021095507
United States,2016,Black or African-American,All,,,,,40893369,39081.403124810015
United States,2016,Native Hawaiian and other Pacific Islander,All,,,,,595986,6950.574503009301
United States,2016,Other Race,All,,,,,16334352,73540.64076843577
United States,2016,Two or more races,All,,,,,10426435,55000.911909538576
United States,2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,8883134,48294.12122317466
United States,2016,Two or more races,Two races including Some other race,,,,,1543301,17526.293391695544
United States,2016,White,All,,,,,234644039,68071.61529576266
United States,2017,All,All,,,,,325719178,
United States,2017,American Indian and Alaskan Native,All,,,,,2726278,21104.62642105903
United States,2017,Asian,All,,,,,18215328,22730.257158489876
United States,2017,Black or African-American,All,,,,,41393491,42876.77062435406
United States,2017,Native Hawaiian and other Pacific Islander,All,,,,,608219,9596.935983950392
United States,2017,Other Race,All,,,,,16552940,75748.67773116907
United States,2017,Two or more races,All,,,,,10715465,56583.37892881026
United States,2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,9105231,51451.759985409444
United States,2017,Two or more races,Two races including Some other race,,,,,1610234,22311.386710438324
United States,2017,White,All,,,,,235507457,75673.29320931363
United States,2018,All,All,,,,,327167439,
United States,2018,American Indian and Alaskan Native,All,,,,,2801587,20906.43808134233
United States,2018,Asian,All,,,,,18415198,25603.380144689647
United States,2018,Black or African-American,All,,,,,41617764,42316.25022797738
United States,2018,Native Hawaiian and other Pacific Islander,All,,,,,626054,9125.782722353943
United States,2018,Other Race,All,,,,,16253785,80570.2474314548
United States,2018,Two or more races,All,,,,,11280031,62767.94941941759
United States,2018,Two or more races,Two races excluding Some other race, and three or more races,,,,,9592892,54636.756033801445
United States,2018,Two or more races,Two races including Some other race,,,,,1687139,21848.13666484285
United States,2018,White,All,,,,,236173020,74410.60246823516
